App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Descargas,Descargas2,Categoria,tamaño,tamaño2,Gratuito,tipo_contenido,Genero1,dias_sin_actualizar,meses_sin_actualizar,grupomeses,version_actual,grupoversiones,version_android,Genero2,media_inst_grp_ver,mediana_inst_grp_ver,med_versandroid
Samsung Video Library,VIDEO_PLAYERS,4.4,25922.0,6.1M,50000000,Free,0.0,Everyone,Video Players & Editors,2018-05-09,1.4.08.2,7.0 and up,16.0,5.0,26.0,6100.0,1.0,1.0,1.0,33,2171,72.0,4.0,1,0.0,2,3.3275862068965516,2,2,2.0
Remix Second Hand,SHOPPING,4.2,867.0,7.5M,100000,Free,0.0,Everyone,Shopping,2018-08-02,1.5.8,4.4 and up,11.0,3.0,27.0,7500.0,2.0,1.0,1.0,37,2086,70.0,5.0,1,0.0,11,3.3933333333333335,2,2,3.0
Learn CW,FAMILY,0.0,0.0,21M,1,Paid,2.49,Everyone,Education,2018-04-06,"1,1",4.3 and up,1.0,0.0,12.0,21000.0,3.0,0.0,1.0,3,2204,73.0,2.0,1,0.0,3,2.057603686635945,2,2,2.0
SwingAid - Level up Golf,SPORTS,4.3,752.0,33M,100000,Free,0.0,Everyone,Sports,2018-07-10,2.6.3,4.1 and up,11.0,3.0,20.0,33000.0,4.0,1.0,1.0,23,2109,70.0,5.0,2,1.0,9,2.823529411764706,3,3,3.0
Masha and The Bear Puzzle Game,FAMILY,4.3,13330.0,73M,1000000,Free,0.0,Everyone,Puzzle;Brain Games,2018-05-24,2,4.1 and up,13.0,4.0,12.0,73000.0,5.0,1.0,1.0,35,2156,72.0,4.0,2,1.0,9,3.361963190184049,3,3,3.0
Flipp - Weekly Shopping,SHOPPING,4.6,85782.0,Varies with device,10000000,Free,0.0,Everyone,Shopping,2018-07-30,Varies with device,Varies with device,15.0,5.0,27.0,0.0,6.0,1.0,1.0,37,2089,70.0,5.0,100,2.0,13,3.3933333333333335,4,4,4.0
Frigo Magic: Easy recipe idea and anti-waste,FOOD_AND_DRINK,4.1,2473.0,14M,500000,Free,0.0,Everyone,Food & Drink,2018-07-28,3.1.5,4.4 and up,12.0,3.0,24.0,14000.0,3.0,1.0,1.0,28,2091,70.0,5.0,3,1.0,11,3.013157894736842,3,3,3.0
kicker football news,SPORTS,4.3,56270.0,15M,5000000,Free,0.0,Everyone,Sports,2018-08-03,5.4.2,5.0 and up,14.0,4.0,20.0,15000.0,3.0,1.0,1.0,23,2085,70.0,5.0,5,2.0,10,2.823529411764706,4,4,3.0
Habbo - Virtual World,FAMILY,3.8,159398.0,28M,5000000,Free,0.0,Teen,Role Playing,2018-05-30,2.22.0,4.2 and up,14.0,4.0,12.0,28000.0,4.0,1.0,3.0,36,2150,72.0,4.0,2,1.0,8,3.391891891891892,3,3,3.0
MyPlate Calorie Tracker,HEALTH_AND_FITNESS,4.6,24094.0,18M,1000000,Free,0.0,Everyone,Health & Fitness,2018-07-09,3.3.0(1),4.1 and up,13.0,4.0,17.0,18000.0,3.0,1.0,1.0,20,2110,70.0,5.0,3,1.0,9,2.7560975609756095,3,3,3.0
Deaf World DW,COMMUNICATION,4.3,298.0,Varies with device,10000,Free,0.0,Teen,Communication,2017-11-28,Varies with device,4.1 and up,9.0,2.0,21.0,0.0,6.0,1.0,3.0,24,2333,78.0,2.0,100,2.0,9,2.889502762430939,4,4,3.0
Drift Legends,GAME,4.2,33788.0,27M,1000000,Free,0.0,Everyone,Racing,2018-03-29,1.8.5,4.1 and up,13.0,4.0,30.0,27000.0,4.0,1.0,1.0,46,2212,74.0,1.0,1,0.0,9,3.872093023255814,2,2,3.0
The Guardian,NEWS_AND_MAGAZINES,4.7,247992.0,22M,5000000,Free,0.0,Teen,News & Magazines,2018-07-25,6.5.1725,4.1 and up,14.0,4.0,11.0,22000.0,3.0,1.0,3.0,14,2094,70.0,5.0,6,2.0,9,2.620320855614973,4,4,3.0
CM FILE MANAGER,TOOLS,4.4,953790.0,Varies with device,50000000,Free,0.0,Everyone,Tools,2018-08-05,Varies with device,Varies with device,16.0,5.0,13.0,0.0,6.0,1.0,1.0,15,2083,69.0,5.0,100,2.0,13,2.66,4,4,4.0
Smart Keyboard Trial,TOOLS,4.1,65597.0,2.4M,10000000,Free,0.0,Everyone,Tools,2017-04-28,4.20.1,2.3 and up,15.0,5.0,13.0,2400.0,6.0,1.0,1.0,15,2547,85.0,0.0,4,2.0,12,2.66,4,4,3.0
White Noise for Baby,PARENTING,4.9,717.0,6.6M,100000,Free,0.0,Everyone,Parenting,2017-12-30,1.6.0,4.1 and up,11.0,3.0,19.0,6600.0,1.0,1.0,1.0,22,2301,77.0,3.0,1,0.0,9,2.7755102040816326,2,2,3.0
PumpUp — Fitness Community,HEALTH_AND_FITNESS,4.0,49479.0,57M,1000000,Free,0.0,Teen,Health & Fitness,2018-07-10,5.13.0,5.0 and up,13.0,4.0,17.0,57000.0,5.0,1.0,3.0,20,2109,70.0,5.0,5,2.0,10,2.7560975609756095,4,4,3.0
R File Manager,TOOLS,4.8,17.0,6.7M,50,Free,0.0,Everyone,Tools,2018-05-05,v2,4.4 and up,4.0,0.0,13.0,6700.0,1.0,1.0,1.0,15,2175,72.0,4.0,2,1.0,11,2.66,3,3,3.0
"Delivery Club-food delivery: pizza, sushi, burger, salad",FOOD_AND_DRINK,4.3,151080.0,Varies with device,5000000,Free,0.0,Everyone,Food & Drink,2018-07-27,Varies with device,Varies with device,14.0,4.0,24.0,0.0,6.0,1.0,1.0,28,2092,70.0,5.0,100,2.0,13,3.013157894736842,4,4,4.0
Episode - Choose Your Story,FAMILY,4.3,1842381.0,Varies with device,50000000,Free,0.0,Teen,Simulation,2018-07-31,Varies with device,Varies with device,16.0,5.0,12.0,0.0,6.0,1.0,3.0,34,2088,70.0,5.0,100,2.0,13,3.350515463917526,4,4,4.0
Alarm Clock,TOOLS,4.3,114788.0,Varies with device,5000000,Free,0.0,Everyone,Tools,2018-01-22,Varies with device,Varies with device,14.0,4.0,13.0,0.0,6.0,1.0,1.0,15,2278,76.0,3.0,100,2.0,13,2.66,4,4,4.0
Bitcoin Bx (Thailand),FINANCE,4.5,101.0,6.9M,10000,Free,0.0,Everyone,Finance,2018-08-04,1.8.4,5.0 and up,9.0,2.0,8.0,6900.0,1.0,1.0,1.0,10,2084,69.0,5.0,1,0.0,10,2.4,2,2,3.0
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556.0,56M,100000,Free,0.0,Mature 17+,Dating,2018-08-01,2.5.2,4.1 and up,11.0,3.0,4.0,56000.0,5.0,1.0,2.0,5,2087,70.0,5.0,2,1.0,9,2.142857142857143,3,3,3.0
Itau bank,FINANCE,4.2,957973.0,40M,10000000,Free,0.0,Everyone,Finance,2018-07-30,6.5.7,4.2 and up,15.0,5.0,8.0,40000.0,4.0,1.0,1.0,10,2089,70.0,5.0,6,2.0,8,2.4,4,4,3.0
K-9 Mail,COMMUNICATION,4.2,88427.0,5.1M,5000000,Free,0.0,Everyone,Communication,2018-01-06,5403,4.0.3 and up,14.0,4.0,21.0,5100.0,1.0,1.0,1.0,24,2294,76.0,3.0,54,2.0,7,2.889502762430939,4,4,2.0
Ludo Family Dice Game,FAMILY,4.2,3593.0,19M,500000,Free,0.0,Everyone,Board;Brain Games,2018-03-07,"1,4",4.1 and up,12.0,3.0,12.0,19000.0,3.0,1.0,1.0,13,2234,74.0,1.0,1,0.0,9,2.559322033898305,2,2,3.0
LEDSHOWTW,TOOLS,4.2,5.0,31M,500,Free,0.0,Everyone,Tools,2018-04-23,1.3.3,4.0.3 and up,6.0,0.0,13.0,31000.0,4.0,1.0,1.0,15,2187,73.0,2.0,1,0.0,7,2.66,2,2,2.0
Cy-Fair Christian Church,LIFESTYLE,5.0,2.0,9.3M,100,Free,0.0,Everyone,Lifestyle,2017-08-03,24.8.1,4.1 and up,5.0,0.0,3.0,9300.0,2.0,1.0,1.0,4,2450,82.0,1.0,24,1.0,9,2.1333333333333333,3,3,3.0
Total AV,PRODUCTIVITY,3.4,617.0,46M,100000,Free,0.0,Everyone,Productivity,2018-04-17,1.5.3,4.1 and up,11.0,3.0,15.0,46000.0,5.0,1.0,1.0,18,2193,73.0,2.0,1,0.0,9,2.7002237136465324,2,2,3.0
CD Supply,BUSINESS,0.0,0.0,14M,5,Free,0.0,Mature 17+,Business,2018-05-28,2.3.2,5.0 and up,2.0,0.0,2.0,14000.0,3.0,1.0,2.0,2,2152,72.0,4.0,2,1.0,10,1.6111111111111112,3,3,3.0
DS photo,VIDEO_PLAYERS,3.8,7335.0,Varies with device,1000000,Free,0.0,Everyone,Video Players & Editors,2018-07-17,Varies with device,Varies with device,13.0,4.0,26.0,0.0,6.0,1.0,1.0,33,2102,70.0,5.0,100,2.0,13,3.3275862068965516,4,4,4.0
Brightest Flashlight - LED Light,TOOLS,4.5,876866.0,9.1M,50000000,Free,0.0,Everyone,Tools,2018-07-27,1.4.9,4.0.3 and up,16.0,5.0,13.0,9100.0,2.0,1.0,1.0,15,2092,70.0,5.0,1,0.0,7,2.66,2,2,2.0
EF Calculator,PRODUCTIVITY,4.7,19.0,Varies with device,1000,Free,0.0,Everyone,Productivity,2017-09-20,1.6.1,Varies with device,7.0,1.0,15.0,0.0,6.0,1.0,1.0,18,2402,80.0,1.0,1,0.0,13,2.7002237136465324,2,2,4.0
db Meter - sound level meter with data logging,TOOLS,0.0,0.0,15M,1,Paid,1.49,Everyone,Tools,2018-03-15,1.0.1,4.1 and up,1.0,0.0,13.0,15000.0,3.0,0.0,1.0,15,2226,74.0,1.0,1,0.0,9,2.66,2,2,3.0
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986.0,35M,5000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1.9.7,4.0.3 and up,14.0,4.0,9.0,35000.0,4.0,1.0,1.0,11,2086,70.0,5.0,1,0.0,7,2.4857142857142858,2,2,2.0
"NewsDog - Latest News, Breaking News, Local News",NEWS_AND_MAGAZINES,4.4,291901.0,4.3M,10000000,Free,0.0,Mature 17+,News & Magazines,2018-07-20,2.6.0,4.1 and up,15.0,5.0,11.0,4300.0,1.0,1.0,2.0,14,2099,70.0,5.0,2,1.0,9,2.620320855614973,3,3,3.0
Elmo Calls by Sesame Street,FAMILY,3.9,6903.0,25M,1000000,Free,0.0,Everyone,Educational;Pretend Play,2018-01-31,2.0.7,2.3 and up,13.0,4.0,12.0,25000.0,3.0,1.0,1.0,27,2269,76.0,3.0,2,1.0,12,2.9152542372881354,3,3,3.0
Zen Leaf,MEDICAL,5.0,1.0,6.1M,100,Free,0.0,Mature 17+,Medical,2018-03-08,2.3.5,4.1 and up,5.0,0.0,0.0,6100.0,1.0,1.0,2.0,0,2233,74.0,1.0,2,1.0,9,1.3285198555956679,3,3,3.0
DX Simulation for Double Dx Henshin Belt 2018,FAMILY,4.6,33.0,11M,5000,Free,0.0,Everyone,Simulation,2018-08-06,"1,5",4.0.3 and up,8.0,1.0,12.0,11000.0,2.0,1.0,1.0,34,2082,69.0,5.0,1,0.0,7,3.350515463917526,2,2,2.0
Mosaic puzzles,FAMILY,4.4,1595.0,14M,500000,Free,0.0,Everyone,Puzzle;Brain Games,2018-07-04,"2,8",4.0.3 and up,12.0,3.0,12.0,14000.0,3.0,1.0,1.0,35,2115,70.0,5.0,2,1.0,7,3.361963190184049,3,3,2.0
"Beacon Baptist Jupiter, FL",LIFESTYLE,5.0,14.0,2.6M,100,Free,0.0,Everyone,Lifestyle,2017-10-13,"2,4",4.0.3 and up,5.0,0.0,3.0,2600.0,6.0,1.0,1.0,4,2379,79.0,2.0,2,1.0,7,2.1333333333333333,3,3,2.0
EGW Writings 2,BOOKS_AND_REFERENCE,4.7,6547.0,16M,100000,Free,0.0,Everyone,Books & Reference,2017-12-08,4.0.3,4.0.3 and up,11.0,3.0,6.0,16000.0,3.0,1.0,1.0,6,2323,77.0,3.0,4,2.0,7,2.25,4,4,2.0
Keypad Lock Screen,TOOLS,4.2,428581.0,4.7M,10000000,Free,0.0,Everyone,Tools,2018-07-17,"1,33",4.0 and up,15.0,5.0,13.0,4700.0,1.0,1.0,1.0,15,2102,70.0,5.0,1,0.0,6,2.66,2,2,3.0
AndStream - Streaming Download,VIDEO_PLAYERS,4.3,38607.0,2.9M,1000000,Free,0.0,Everyone,Video Players & Editors,2017-03-19,3.1.8,2.3 and up,13.0,4.0,26.0,2900.0,6.0,1.0,1.0,33,2587,86.0,1.0,3,1.0,12,3.3275862068965516,3,3,3.0
Defender,GAME,4.6,152395.0,14M,10000000,Free,0.0,Everyone 10+,Action,2016-07-22,1.1.9,2.3 and up,15.0,5.0,30.0,14000.0,3.0,1.0,5.0,44,2827,94.0,2.0,1,0.0,12,3.6554621848739495,2,2,3.0
Chinese Chess ( Xiangqi Free ),GAME,4.6,963.0,4.1M,50000,Free,0.0,Everyone,Board,2017-04-18,1.1.1,2.3 and up,10.0,2.0,30.0,4100.0,1.0,1.0,1.0,13,2557,85.0,0.0,1,0.0,12,2.559322033898305,2,2,3.0
My C Spire,PRODUCTIVITY,4.1,376.0,32M,50000,Free,0.0,Everyone,Productivity,2018-07-23,2.15.1,4.4 and up,10.0,2.0,15.0,32000.0,4.0,1.0,1.0,18,2096,70.0,5.0,2,1.0,11,2.7002237136465324,3,3,3.0
"Stop, Breathe & Think: Meditation & Mindfulness",HEALTH_AND_FITNESS,4.3,8576.0,Varies with device,1000000,Free,0.0,Everyone,Health & Fitness,2018-07-28,Varies with device,Varies with device,13.0,4.0,17.0,0.0,6.0,1.0,1.0,20,2091,70.0,5.0,100,2.0,13,2.7560975609756095,4,4,4.0
Tour BD (Bahir Dar Map),MAPS_AND_NAVIGATION,4.9,49.0,3.9M,100,Free,0.0,Everyone,Maps & Navigation,2017-10-16,2,4.2 and up,5.0,0.0,18.0,3900.0,1.0,1.0,1.0,21,2376,79.0,2.0,2,1.0,8,2.7752293577981653,3,3,3.0
Speed Racing Ultimate 2,GAME,4.1,66894.0,Varies with device,1000000,Free,0.0,Everyone 10+,Racing,2018-07-21,Varies with device,Varies with device,13.0,4.0,30.0,0.0,6.0,1.0,5.0,46,2098,70.0,5.0,100,2.0,13,3.872093023255814,4,4,4.0
Southland CU,FINANCE,3.8,109.0,2.8M,10000,Free,0.0,Everyone,Finance,2017-07-20,"1,1",2.3 and up,9.0,2.0,8.0,2800.0,6.0,1.0,1.0,10,2464,82.0,1.0,1,0.0,12,2.4,2,2,3.0
Meditation Studio,HEALTH_AND_FITNESS,4.6,1026.0,29M,10000,Paid,3.99,Everyone,Health & Fitness,2018-05-15,1.0.6,4.3 and up,9.0,2.0,17.0,29000.0,4.0,0.0,1.0,20,2165,72.0,4.0,1,0.0,3,2.7560975609756095,2,2,2.0
DEER HUNTER CHALLENGE,GAME,3.7,38767.0,4.1M,5000000,Free,0.0,Everyone 10+,Action,2011-04-11,1.4.3,2.0 and up,14.0,4.0,30.0,4100.0,1.0,1.0,5.0,44,4756,159.0,5.0,1,0.0,2,3.6554621848739495,2,2,2.0
EB Cash Collections,BUSINESS,5.0,1.0,4.3M,5,Free,0.0,Everyone,Business,2018-07-31,"1,1",4.4 and up,2.0,0.0,2.0,4300.0,1.0,1.0,1.0,2,2088,70.0,5.0,1,0.0,11,1.6111111111111112,2,2,3.0
Nighty Night Circus,FAMILY,4.3,382.0,15M,10000,Paid,2.99,Everyone,Education;Action & Adventure,2017-03-07,"2,6",2.3 and up,9.0,2.0,12.0,15000.0,3.0,0.0,1.0,3,2599,87.0,2.0,2,1.0,12,2.057603686635945,3,3,3.0
Petals 3D live wallpaper,PERSONALIZATION,4.2,112479.0,4.3M,10000000,Free,0.0,Everyone,Personalization,2018-07-25,3.0.5,4.2 and up,15.0,5.0,7.0,4300.0,1.0,1.0,1.0,9,2094,70.0,5.0,3,1.0,8,2.373076923076923,3,3,3.0
BankNordik,FINANCE,3.9,28.0,15M,5000,Free,0.0,Everyone,Finance,2018-08-08,7.3.2,5.0 and up,8.0,1.0,8.0,15000.0,3.0,1.0,1.0,10,2080,69.0,5.0,7,2.0,10,2.4,4,4,3.0
Pou,FAMILY,4.3,10483141.0,24M,500000000,Free,0.0,Everyone,Casual,2018-05-25,1.4.77,4.0 and up,18.0,5.0,12.0,24000.0,3.0,1.0,1.0,38,2155,72.0,4.0,1,0.0,6,3.396039603960396,2,2,3.0
BJ Bridge Standard American 2018,GAME,1.0,1.0,4.9M,1000,Free,0.0,Everyone,Card,2018-05-21,6.2-sayc,4.0 and up,7.0,1.0,30.0,4900.0,1.0,1.0,1.0,29,2159,72.0,4.0,6,2.0,6,3.058139534883721,4,4,3.0
Ei Samay - Bengali News Paper,NEWS_AND_MAGAZINES,4.3,20620.0,Varies with device,1000000,Free,0.0,Everyone,News & Magazines,2018-07-17,Varies with device,Varies with device,13.0,4.0,11.0,0.0,6.0,1.0,1.0,14,2102,70.0,5.0,100,2.0,13,2.620320855614973,4,4,4.0
A&E - Watch Full Episodes of TV Shows,FAMILY,4.0,29708.0,19M,1000000,Free,0.0,Teen,Entertainment,2018-07-16,3.1.4,4.4 and up,13.0,4.0,12.0,19000.0,3.0,1.0,3.0,17,2103,70.0,5.0,3,1.0,11,2.6990131578947367,3,3,3.0
VPN Free - Betternet Hotspot VPN & Private Browser,TOOLS,4.5,799206.0,8.9M,10000000,Free,0.0,Everyone,Tools,2018-08-01,4.3.0,4.1 and up,15.0,5.0,13.0,8900.0,2.0,1.0,1.0,15,2087,70.0,5.0,4,2.0,9,2.66,4,4,3.0
Cute Images for Whatsapp,FAMILY,4.4,634.0,8.1M,100000,Free,0.0,Teen,Entertainment,2015-12-23,1,2.3.3 and up,11.0,3.0,12.0,8100.0,2.0,1.0,3.0,17,3039,101.0,0.0,1,0.0,5,2.6990131578947367,2,2,3.0
Wi-Fi Auto-connect,COMMUNICATION,3.8,15036.0,253k,1000000,Free,0.0,Everyone,Communication,2015-08-01,1.2.0,1.6 and up,13.0,4.0,21.0,253.0,6.0,1.0,1.0,24,3183,106.0,3.0,1,0.0,0,2.889502762430939,2,2,2.0
Saiyan Z: Super SSJ Ultimate Combat,GAME,4.4,306.0,61M,10000,Free,0.0,Everyone,Adventure,2018-04-18,2.0.2,4.0 and up,9.0,2.0,30.0,61000.0,5.0,1.0,1.0,32,2192,73.0,2.0,2,1.0,6,3.292307692307692,3,3,3.0
Socratic - Math Answers & Homework Help,EDUCATION,4.6,37862.0,5.4M,1000000,Free,0.0,Everyone,Education,2018-06-07,1.8.1,4.1 and up,13.0,4.0,31.0,5400.0,1.0,1.0,1.0,3,2142,71.0,4.0,1,0.0,9,2.057603686635945,2,2,3.0
BG MUSIC PLAYER - MUSIC PLAYER,VIDEO_PLAYERS,0.0,0.0,8.6M,100,Free,0.0,Everyone,Video Players & Editors,2018-06-26,1,4.1 and up,5.0,0.0,26.0,8600.0,2.0,1.0,1.0,33,2123,71.0,4.0,1,0.0,9,3.3275862068965516,2,2,3.0
Nature Sounds,LIFESTYLE,4.8,28588.0,24M,1000000,Free,0.0,Everyone,Lifestyle,2018-03-01,3.1.8,4.0.3 and up,13.0,4.0,3.0,24000.0,3.0,1.0,1.0,4,2240,75.0,2.0,3,1.0,7,2.1333333333333333,3,3,2.0
FK Events,PRODUCTIVITY,0.0,0.0,18M,5,Free,0.0,Teen,Productivity,2018-06-27,7.17.2.1,5.0 and up,2.0,0.0,15.0,18000.0,3.0,1.0,3.0,18,2122,71.0,4.0,7,2.0,10,2.7002237136465324,4,4,3.0
Shiver: Moonlit Grove CE,FAMILY,4.1,3433.0,23M,50000,Free,0.0,Everyone 10+,Casual,2016-03-14,1.1.0,2.3.3 and up,10.0,2.0,12.0,23000.0,3.0,1.0,5.0,38,2957,99.0,1.0,1,0.0,5,3.396039603960396,2,2,3.0
Daily Mail Online,NEWS_AND_MAGAZINES,4.1,56807.0,Varies with device,5000000,Free,0.0,Everyone 10+,News & Magazines,2018-07-30,Varies with device,Varies with device,14.0,4.0,11.0,0.0,6.0,1.0,5.0,14,2089,70.0,5.0,100,2.0,13,2.620320855614973,4,4,4.0
Knightfall™ AR,FAMILY,4.2,254.0,25M,10000,Free,0.0,Teen,Strategy,2018-03-17,1,7.0 and up,9.0,2.0,12.0,25000.0,3.0,1.0,3.0,45,2224,74.0,1.0,1,0.0,2,3.7222222222222223,2,2,2.0
JusTalk - Free Video Calls and Fun Video Chat,COMMUNICATION,4.6,191032.0,26M,5000000,Free,0.0,Everyone,Communication,2018-08-04,7.2.29,4.0.3 and up,14.0,4.0,21.0,26000.0,4.0,1.0,1.0,24,2084,69.0,5.0,7,2.0,7,2.889502762430939,4,4,2.0
P XPERIA Theme™ | Design For SONY 🎨,PERSONALIZATION,4.4,147.0,16M,10000,Free,0.0,Everyone,Personalization,2018-05-28,1.0.0,4.4 and up,9.0,2.0,7.0,16000.0,3.0,1.0,1.0,9,2152,72.0,4.0,1,0.0,11,2.373076923076923,2,2,3.0
Wi-Fi settings shortcut,TOOLS,4.1,479.0,29k,50000,Free,0.0,Everyone,Tools,2013-12-13,"1,4",1.6 and up,10.0,2.0,13.0,29.0,6.0,1.0,1.0,15,3779,126.0,2.0,1,0.0,0,2.66,2,2,2.0
Cut the Rope FULL FREE,FAMILY,4.4,2122705.0,49M,100000000,Free,0.0,Everyone,Puzzle,2018-07-05,3.7.2,4.1 and up,17.0,5.0,12.0,49000.0,5.0,1.0,1.0,35,2114,70.0,5.0,3,1.0,9,3.361963190184049,3,3,3.0
BS Play,FAMILY,3.7,56.0,1.5M,5000,Free,0.0,Everyone,Education,2015-03-04,1.1.2,4.0 and up,8.0,1.0,12.0,1500.0,6.0,1.0,1.0,3,3333,111.0,0.0,1,0.0,6,2.057603686635945,2,2,3.0
"Real Estate, Car, Shopping and Others",SHOPPING,4.3,568273.0,Varies with device,10000000,Free,0.0,Everyone,Shopping,2018-08-04,Varies with device,Varies with device,15.0,5.0,27.0,0.0,6.0,1.0,1.0,37,2084,69.0,5.0,100,2.0,13,3.3933333333333335,4,4,4.0
AP English Language: Practice Tests and Flashcards,FAMILY,4.5,19.0,5.4M,5000,Free,0.0,Everyone,Education,2018-07-03,1.6.7.1,4.1 and up,8.0,1.0,12.0,5400.0,1.0,1.0,1.0,3,2116,71.0,4.0,1,0.0,9,2.057603686635945,2,2,3.0
C Programs and Reference,BOOKS_AND_REFERENCE,4.2,873.0,2.5M,50000,Free,0.0,Everyone,Books & Reference,2014-07-31,"2,2",2.1 and up,10.0,2.0,6.0,2500.0,6.0,1.0,1.0,6,3549,118.0,0.0,2,1.0,4,2.25,3,3,2.0
ES Material Theme for Pro,PRODUCTIVITY,4.2,14428.0,1.2M,1000000,Free,0.0,Everyone,Productivity,2015-12-03,2.0.3,2.2 and up,13.0,4.0,15.0,1200.0,6.0,1.0,1.0,18,3059,102.0,3.0,2,1.0,1,2.7002237136465324,3,3,2.0
DS cam,PRODUCTIVITY,3.6,3227.0,35M,500000,Free,0.0,Everyone,Productivity,2018-07-26,3.0.1,4.1 and up,12.0,3.0,15.0,35000.0,4.0,1.0,1.0,18,2093,70.0,5.0,3,1.0,9,2.7002237136465324,3,3,3.0
Oggy,GAME,4.5,49971.0,61M,5000000,Free,0.0,Everyone,Arcade,2017-08-29,1.3.1,4.0.3 and up,14.0,4.0,30.0,61000.0,5.0,1.0,1.0,42,2424,81.0,1.0,1,0.0,7,3.55188679245283,2,2,2.0
Tic Tac CK,FAMILY,5.0,3.0,13M,10,Free,0.0,Everyone,Puzzle,2018-07-03,1,4.0.3 and up,3.0,0.0,12.0,13000.0,2.0,1.0,1.0,35,2116,71.0,4.0,1,0.0,7,3.361963190184049,2,2,2.0
HOW TO ASK A GIRL OUT,DATING,0.0,0.0,19M,10,Free,0.0,Everyone,Dating,2018-07-16,1,4.0.3 and up,3.0,0.0,4.0,19000.0,3.0,1.0,1.0,5,2103,70.0,5.0,1,0.0,7,2.142857142857143,2,2,2.0
YouCam Perfect - Selfie Photo Editor,PHOTOGRAPHY,4.5,1579287.0,Varies with device,100000000,Free,0.0,Everyone,Photography,2018-07-25,Varies with device,Varies with device,17.0,5.0,29.0,0.0,6.0,1.0,1.0,43,2094,70.0,5.0,100,2.0,13,3.6265060240963853,4,4,4.0
"Onet - news, weather, sport",NEWS_AND_MAGAZINES,4.0,13950.0,Varies with device,1000000,Free,0.0,Mature 17+,News & Magazines,2018-08-06,Varies with device,Varies with device,13.0,4.0,11.0,0.0,6.0,1.0,2.0,14,2082,69.0,5.0,100,2.0,13,2.620320855614973,4,4,4.0
Candy Bomb,FAMILY,4.4,42145.0,20M,10000000,Free,0.0,Everyone,Casual;Brain Games,2018-07-04,2.9.3181,4.0.3 and up,15.0,5.0,12.0,20000.0,3.0,1.0,1.0,38,2115,70.0,5.0,2,1.0,7,3.396039603960396,3,3,2.0
HOLLA Live: Meet New People via Random Video Chat,SOCIAL,4.6,216513.0,Varies with device,5000000,Free,0.0,Mature 17+,Social,2018-08-06,Varies with device,Varies with device,14.0,4.0,23.0,0.0,6.0,1.0,2.0,26,2082,69.0,5.0,100,2.0,13,2.9078947368421053,4,4,4.0
Living Smart Home,HOUSE_AND_HOME,4.6,39189.0,Varies with device,1000000,Free,0.0,Everyone,House & Home,2018-07-30,Varies with device,Varies with device,13.0,4.0,25.0,0.0,6.0,1.0,1.0,30,2089,70.0,5.0,100,2.0,13,3.1666666666666665,4,4,4.0
My Little Pony: Harmony Quest,FAMILY,4.1,148405.0,26M,10000000,Free,0.0,Everyone,Casual;Action & Adventure,2018-03-05,"1,6",4.1 and up,15.0,5.0,12.0,26000.0,4.0,1.0,1.0,38,2236,75.0,2.0,1,0.0,9,3.396039603960396,2,2,3.0
CJ the REALTOR,BUSINESS,5.0,1.0,4.2M,10,Free,0.0,Everyone,Business,2017-05-31,1.0.8,4.0.3 and up,3.0,0.0,2.0,4200.0,1.0,1.0,1.0,2,2514,84.0,0.0,1,0.0,7,1.6111111111111112,2,2,2.0
"OurHome – chores, rewards, groceries and calendar",FAMILY,4.3,3146.0,Varies with device,100000,Free,0.0,Everyone,Lifestyle;Education,2018-01-31,3.13.2,4.1 and up,11.0,3.0,12.0,0.0,6.0,1.0,1.0,4,2269,76.0,3.0,3,1.0,9,2.1333333333333333,3,3,3.0
QuickPic - Photo Gallery with Google Drive Support,PHOTOGRAPHY,4.6,847144.0,4.2M,10000000,Free,0.0,Everyone,Photography,2017-11-10,4.7.4,4.0 and up,15.0,5.0,29.0,4200.0,1.0,1.0,1.0,43,2351,78.0,2.0,4,2.0,6,3.6265060240963853,4,4,3.0
РееI Smart Remote MP3 CD Player,TOOLS,3.2,27.0,2.7M,5000,Free,0.0,Everyone,Tools,2018-01-22,"1,2",4.0 and up,8.0,1.0,13.0,2700.0,6.0,1.0,1.0,15,2278,76.0,3.0,1,0.0,6,2.66,2,2,3.0
All-in-One Mahjong 3,FAMILY,4.4,38.0,16M,100,Paid,0.99,Everyone,Board;Brain Games,2018-06-14,20180609,4.0 and up,5.0,0.0,12.0,16000.0,3.0,0.0,1.0,13,2135,71.0,4.0,20,1.0,6,2.559322033898305,3,3,3.0
BQ Partners,COMMUNICATION,0.0,0.0,Varies with device,1000,Free,0.0,Everyone,Communication,2018-07-27,Varies with device,Varies with device,7.0,1.0,21.0,0.0,6.0,1.0,1.0,24,2092,70.0,5.0,100,2.0,13,2.889502762430939,4,4,4.0
Seen,FAMILY,4.5,118285.0,22M,1000000,Free,0.0,Teen,Simulation,2018-05-24,1.2.1,4.1 and up,13.0,4.0,12.0,22000.0,3.0,1.0,3.0,34,2156,72.0,4.0,1,0.0,9,3.350515463917526,2,2,3.0
